ZONA,TIPO_DELITO,FECHA_INICIO,AÑO,MES,SEMANA,TOTAL_DELITOS_REAL,TOTAL_DELITOS_PREDICHO,ERROR_ABSOLUTO,ERROR_PORCENTUAL,TIPO_MODELO
Metropolitana,DELITO_SEXUAL,2022-06-27,2022,6,26,8,7.32,0.68,8.54,INDIVIDUAL
Vélez,HURTO,2022-06-27,2022,6,26,1,1.06,0.06,5.52,INDIVIDUAL
Yariguíes,HURTO,2022-06-27,2022,6,26,3,3.09,0.09,3.14,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-06-27,2022,6,26,3,2.98,0.02,0.53,INDIVIDUAL
Guanentá,HURTO,2022-06-27,2022,6,26,2,1.99,0.01,0.37,POR_TIPO
Comunera,DELITO_SEXUAL,2022-06-27,2022,6,26,1,1.01,0.01,0.83,INDIVIDUAL
Comunera,HURTO,2022-06-27,2022,6,26,1,1.0,0.0,0.03,POR_TIPO
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-06-27,2022,6,26,3,2.94,0.06,2.16,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2022-06-27,2022,6,26,2,2.11,0.11,5.66,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-06-27,2022,6,26,6,6.17,0.17,2.8,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-06-27,2022,6,26,1,0.97,0.03,2.81,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-06-27,2022,6,26,3,2.85,0.15,4.91,INDIVIDUAL
Soto Norte,DELITO_SEXUAL,2022-06-27,2022,6,26,1,1.01,0.01,1.12,POR_TIPO
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-07-04,2022,7,27,39,39.17,0.17,0.43,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-07-04,2022,7,27,3,3.28,0.28,9.44,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-07-04,2022,7,27,5,4.97,0.03,0.54,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-07-04,2022,7,27,1,0.94,0.06,6.17,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-07-04,2022,7,27,2,2.37,0.37,18.46,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-07-04,2022,7,27,1,1.01,0.01,0.55,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-07-04,2022,7,27,9,8.34,0.66,7.36,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-07-04,2022,7,27,3,3.36,0.36,11.84,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-07-04,2022,7,27,1,0.99,0.01,1.06,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-07-04,2022,7,27,25,25.39,0.39,1.55,INDIVIDUAL
Metropolitana,HURTO,2022-07-11,2022,7,28,1,1.01,0.01,0.78,POR_TIPO
Comunera,DELITO_SEXUAL,2022-07-11,2022,7,28,1,1.03,0.03,2.52,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-07-11,2022,7,28,2,1.99,0.01,0.42,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-07-11,2022,7,28,43,43.61,0.61,1.41,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-07-11,2022,7,28,1,1.85,0.85,85.45,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-07-11,2022,7,28,3,3.15,0.15,5.03,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-07-11,2022,7,28,21,21.63,0.63,3.02,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-07-11,2022,7,28,2,1.92,0.08,3.79,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-07-11,2022,7,28,2,1.94,0.06,2.78,INDIVIDUAL
Guanentá,HURTO,2022-07-11,2022,7,28,1,1.0,0.0,0.12,POR_TIPO
Guanentá,DELITO_SEXUAL,2022-07-11,2022,7,28,1,0.99,0.01,1.47,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-07-11,2022,7,28,12,10.22,1.78,14.81,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2022-07-11,2022,7,28,1,0.97,0.03,3.27,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-07-11,2022,7,28,5,4.8,0.2,3.94,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-07-18,2022,7,29,1,1.05,0.05,5.03,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-07-18,2022,7,29,2,2.19,0.19,9.35,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-07-18,2022,7,29,20,19.5,0.5,2.5,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-07-18,2022,7,29,3,2.9,0.1,3.47,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-07-18,2022,7,29,3,2.91,0.09,3.11,INDIVIDUAL
Vélez,HURTO,2022-07-18,2022,7,29,1,1.02,0.02,1.94,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-07-18,2022,7,29,11,11.13,0.13,1.22,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-07-18,2022,7,29,6,5.91,0.09,1.53,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-07-18,2022,7,29,43,44.14,1.14,2.66,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-07-18,2022,7,29,3,3.15,0.15,4.9,INDIVIDUAL
Yariguíes,HURTO,2022-07-18,2022,7,29,1,0.99,0.01,0.75,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-07-25,2022,7,30,17,15.96,1.04,6.1,INDIVIDUAL
Comunera,HURTO,2022-07-25,2022,7,30,2,2.0,0.0,0.14,POR_TIPO
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-07-25,2022,7,30,51,50.21,0.79,1.55,INDIVIDUAL
Metropolitana,HURTO,2022-07-25,2022,7,30,1,1.01,0.01,0.83,POR_TIPO
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-07-25,2022,7,30,3,3.2,0.2,6.7,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-07-25,2022,7,30,5,4.98,0.02,0.31,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-07-25,2022,7,30,7,6.94,0.06,0.79,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-07-25,2022,7,30,2,1.95,0.05,2.56,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-07-25,2022,7,30,1,1.18,0.18,18.23,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-07-25,2022,7,30,1,1.0,0.0,0.44,INDIVIDUAL
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2022-07-25,2022,7,30,1,1.07,0.07,6.54,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-07-25,2022,7,30,7,7.24,0.24,3.39,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2022-07-25,2022,7,30,3,2.77,0.23,7.65,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-07-25,2022,7,30,2,1.98,0.02,0.81,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-08-01,2022,8,31,1,0.98,0.02,1.84,INDIVIDUAL
Comunera,HURTO,2022-08-01,2022,8,31,1,1.0,0.0,0.41,POR_TIPO
García-Rovira,HURTO,2022-08-01,2022,8,31,1,1.0,0.0,0.28,POR_TIPO
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-08-01,2022,8,31,16,15.66,0.34,2.12,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-08-01,2022,8,31,54,59.4,5.4,10.0,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-08-01,2022,8,31,17,18.04,1.04,6.11,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-08-01,2022,8,31,2,1.82,0.18,9.07,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-08-01,2022,8,31,1,0.96,0.04,3.86,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-08-01,2022,8,31,7,7.37,0.37,5.33,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-08-01,2022,8,31,7,7.38,0.38,5.41,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-08-08,2022,8,32,8,8.08,0.08,1.04,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-08-08,2022,8,32,1,1.02,0.02,2.04,INDIVIDUAL
Yariguíes,HURTO,2022-08-08,2022,8,32,1,1.06,0.06,6.19,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2022-08-08,2022,8,32,1,0.97,0.03,2.89,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-08-08,2022,8,32,1,0.9,0.1,9.57,INDIVIDUAL
Metropolitana,HURTO,2022-08-08,2022,8,32,1,0.99,0.01,0.84,POR_TIPO
Vélez,DELITO_SEXUAL,2022-08-08,2022,8,32,2,1.97,0.03,1.66,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-08-08,2022,8,32,1,0.99,0.01,0.57,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-08-08,2022,8,32,22,21.16,0.84,3.84,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-08-08,2022,8,32,2,2.09,0.09,4.39,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-08-08,2022,8,32,3,3.97,0.97,32.37,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-08-08,2022,8,32,24,25.06,1.06,4.42,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-08-08,2022,8,32,44,45.62,1.62,3.67,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-08-15,2022,8,33,2,2.26,0.26,13.22,INDIVIDUAL
Guanentá,HURTO,2022-08-15,2022,8,33,1,1.0,0.0,0.09,POR_TIPO
Vélez,DELITO_SEXUAL,2022-08-15,2022,8,33,1,1.01,0.01,0.94,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-08-15,2022,8,33,2,1.98,0.02,1.23,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-08-15,2022,8,33,16,16.5,0.5,3.11,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-08-15,2022,8,33,8,8.04,0.04,0.56,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-08-15,2022,8,33,3,3.18,0.18,6.09,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-08-15,2022,8,33,9,8.78,0.22,2.5,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-08-15,2022,8,33,2,2.3,0.3,15.03,INDIVIDUAL
Vélez,HURTO,2022-08-15,2022,8,33,1,1.0,0.0,0.3,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-08-15,2022,8,33,45,45.34,0.34,0.76,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2022-08-15,2022,8,33,1,0.94,0.06,6.2,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-08-22,2022,8,34,11,11.32,0.32,2.94,INDIVIDUAL
Vélez,HURTO,2022-08-22,2022,8,34,1,1.01,0.01,0.82,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-08-22,2022,8,34,16,16.97,0.97,6.05,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-08-22,2022,8,34,2,1.93,0.07,3.27,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-08-22,2022,8,34,3,3.23,0.23,7.51,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-08-22,2022,8,34,1,1.04,0.04,4.01,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-08-22,2022,8,34,32,33.35,1.35,4.23,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-08-22,2022,8,34,1,0.9,0.1,9.92,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-08-22,2022,8,34,2,2.37,0.37,18.47,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-08-22,2022,8,34,4,5.49,1.49,37.15,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-08-22,2022,8,34,6,6.25,0.25,4.23,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-08-29,2022,8,35,2,2.07,0.07,3.73,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-08-29,2022,8,35,1,1.15,0.15,15.03,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-08-29,2022,8,35,2,2.16,0.16,8.17,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-08-29,2022,8,35,14,14.1,0.1,0.7,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-08-29,2022,8,35,1,1.02,0.02,2.02,INDIVIDUAL
Comunera,HURTO,2022-08-29,2022,8,35,1,1.0,0.0,0.13,POR_TIPO
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-08-29,2022,8,35,28,28.39,0.39,1.39,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-08-29,2022,8,35,45,45.38,0.38,0.85,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-08-29,2022,8,35,7,6.66,0.34,4.87,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-08-29,2022,8,35,1,0.96,0.04,3.62,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-08-29,2022,8,35,6,5.71,0.29,4.77,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-09-05,2022,9,36,17,15.95,1.05,6.16,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-09-05,2022,9,36,66,58.4,7.6,11.51,INDIVIDUAL
Yariguíes,HURTO,2022-09-05,2022,9,36,4,3.17,0.83,20.67,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-09-05,2022,9,36,1,1.01,0.01,1.36,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-09-05,2022,9,36,2,2.03,0.03,1.25,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-09-05,2022,9,36,2,1.95,0.05,2.38,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-09-05,2022,9,36,5,5.17,0.17,3.41,INDIVIDUAL
Vélez,HURTO,2022-09-05,2022,9,36,2,2.44,0.44,22.07,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-09-05,2022,9,36,16,16.2,0.2,1.28,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-09-05,2022,9,36,2,1.95,0.05,2.67,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-09-05,2022,9,36,3,3.31,0.31,10.46,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2022-09-12,2022,9,37,2,2.14,0.14,6.9,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-09-12,2022,9,37,9,8.77,0.23,2.54,INDIVIDUAL
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2022-09-12,2022,9,37,2,2.33,0.33,16.33,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-09-12,2022,9,37,1,0.9,0.1,9.64,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-09-12,2022,9,37,2,2.07,0.07,3.33,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-09-12,2022,9,37,65,63.38,1.62,2.49,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-09-12,2022,9,37,11,10.8,0.2,1.84,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-09-12,2022,9,37,2,2.14,0.14,6.94,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-09-12,2022,9,37,22,21.69,0.31,1.43,INDIVIDUAL
Comunera,HURTO,2022-09-12,2022,9,37,1,1.0,0.0,0.13,POR_TIPO
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-09-12,2022,9,37,1,1.17,0.17,17.39,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-09-12,2022,9,37,1,0.99,0.01,1.42,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-09-19,2022,9,38,1,0.99,0.01,1.35,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-09-19,2022,9,38,1,2.02,1.02,101.72,INDIVIDUAL
Yariguíes,HURTO,2022-09-19,2022,9,38,1,1.28,0.28,27.91,INDIVIDUAL
Vélez,HURTO,2022-09-19,2022,9,38,2,1.98,0.02,0.84,INDIVIDUAL
Soto Norte,DELITO_SEXUAL,2022-09-19,2022,9,38,1,1.01,0.01,1.12,POR_TIPO
Guanentá,DELITO_SEXUAL,2022-09-19,2022,9,38,3,3.22,0.22,7.47,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-09-19,2022,9,38,2,2.03,0.03,1.75,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-09-19,2022,9,38,41,50.94,9.94,24.25,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-09-19,2022,9,38,6,5.95,0.05,0.84,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-09-19,2022,9,38,10,10.18,0.18,1.78,INDIVIDUAL
Comunera,HURTO,2022-09-19,2022,9,38,1,1.0,0.0,0.1,POR_TIPO
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-09-19,2022,9,38,22,21.8,0.2,0.9,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-09-19,2022,9,38,4,4.11,0.11,2.85,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-09-19,2022,9,38,1,1.13,0.13,12.75,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-09-26,2022,9,39,9,8.79,0.21,2.33,INDIVIDUAL
Yariguíes,HURTO,2022-09-26,2022,9,39,1,0.96,0.04,4.14,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-09-26,2022,9,39,1,1.03,0.03,2.82,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-09-26,2022,9,39,2,1.98,0.02,1.14,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-09-26,2022,9,39,2,2.18,0.18,8.9,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-09-26,2022,9,39,62,64.71,2.71,4.37,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-09-26,2022,9,39,1,1.01,0.01,0.59,INDIVIDUAL
Vélez,HURTO,2022-09-26,2022,9,39,1,1.01,0.01,0.99,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-09-26,2022,9,39,18,17.55,0.45,2.51,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-09-26,2022,9,39,4,3.82,0.18,4.44,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-09-26,2022,9,39,2,2.09,0.09,4.33,INDIVIDUAL
Comunera,HURTO,2022-09-26,2022,9,39,2,1.99,0.01,0.37,POR_TIPO
Comunera,DELITO_SEXUAL,2022-09-26,2022,9,39,2,1.99,0.01,0.67,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-10-03,2022,10,40,3,3.52,0.52,17.28,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-10-03,2022,10,40,3,3.07,0.07,2.3,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-10-03,2022,10,40,2,2.14,0.14,7.01,INDIVIDUAL
Vélez,HURTO,2022-10-03,2022,10,40,2,2.02,0.02,0.96,INDIVIDUAL
Yariguíes,HURTO,2022-10-03,2022,10,40,1,0.99,0.01,0.94,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-10-03,2022,10,40,45,43.98,1.02,2.28,INDIVIDUAL
Comunera,HURTO,2022-10-03,2022,10,40,1,1.0,0.0,0.21,POR_TIPO
Metropolitana,DELITO_SEXUAL,2022-10-03,2022,10,40,14,13.77,0.23,1.63,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-10-03,2022,10,40,4,3.93,0.07,1.69,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-10-03,2022,10,40,1,0.98,0.02,1.86,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-10-03,2022,10,40,4,4.01,0.01,0.3,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-10-03,2022,10,40,7,8.69,1.69,24.2,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-10-10,2022,10,41,14,14.01,0.01,0.07,INDIVIDUAL
Yariguíes,HURTO,2022-10-10,2022,10,41,2,1.67,0.33,16.36,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-10-10,2022,10,41,3,3.3,0.3,9.84,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-10-10,2022,10,41,7,6.83,0.17,2.4,INDIVIDUAL
